Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,178.500000,180.240005,178.070007,178.649994,178.649994,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,178.020004,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,175.300003,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,175.240005,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,171.270004,37054900
2018-03-22,170.000000,172.679993,168.600006,168.850006,168.850006,41490800
2018-03-23,168.389999,169.919998,164.940002,164.940002,164.940002,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,172.770004,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,168.339996,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,166.479996,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,167.779999,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,166.679993,37586800
2018-04-03,167.639999,168.750000,164.880005,168.389999,168.389999,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,171.610001,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,172.800003,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,168.380005,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,170.050003,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,173.250000,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,172.440002,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,174.139999,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,174.729996,25090100
